Funktion:	atan x

x           0      1      2      3      4      5      6      7      8      9

-1.0   -0.785 -0.780 -0.775 -0.770 -0.765 -0.760 -0.754 -0.749 -0.744 -0.738
-0.9   -0.733 -0.727 -0.722 -0.716 -0.710 -0.704 -0.699 -0.693 -0.687 -0.681
-0.8   -0.675 -0.669 -0.662 -0.656 -0.650 -0.644 -0.637 -0.631 -0.624 -0.617
-0.7   -0.611 -0.604 -0.597 -0.590 -0.583 -0.576 -0.569 -0.562 -0.555 -0.548
-0.6   -0.540 -0.533 -0.526 -0.518 -0.510 -0.503 -0.495 -0.487 -0.480 -0.472
-0.5   -0.464 -0.456 -0.448 -0.439 -0.431 -0.423 -0.415 -0.406 -0.398 -0.389
-0.4   -0.381 -0.372 -0.363 -0.354 -0.346 -0.337 -0.328 -0.319 -0.310 -0.301
-0.3   -0.291 -0.282 -0.273 -0.264 -0.254 -0.245 -0.236 -0.226 -0.217 -0.207
-0.2   -0.197 -0.188 -0.178 -0.168 -0.159 -0.149 -0.139 -0.129 -0.119 -0.110
-0.1   -0.100 -0.090 -0.080 -0.070 -0.060 -0.050 -0.040 -0.030 -0.020 -0.010
-0.0    0.000  0.010  0.020  0.030  0.040  0.050  0.060  0.070  0.080  0.090
0.1     0.100  0.110  0.119  0.129  0.139  0.149  0.159  0.168  0.178  0.188
0.2     0.197  0.207  0.217  0.226  0.236  0.245  0.254  0.264  0.273  0.282
0.3     0.291  0.301  0.310  0.319  0.328  0.337  0.346  0.354  0.363  0.372
0.4     0.381  0.389  0.398  0.406  0.415  0.423  0.431  0.439  0.448  0.456
0.5     0.464  0.472  0.480  0.487  0.495  0.503  0.510  0.518  0.526  0.533
0.6     0.540  0.548  0.555  0.562  0.569  0.576  0.583  0.590  0.597  0.604
0.7     0.611  0.617  0.624  0.631  0.637  0.644  0.650  0.656  0.662  0.669
0.8     0.675  0.681  0.687  0.693  0.699  0.704  0.710  0.716  0.722  0.727
0.9     0.733  0.738  0.744  0.749  0.754  0.760  0.765  0.770  0.775  0.780
1.0     0.785

