Funktion:	log x

x              0         1         2         3         4         5         6         7         8         9

1000.000000  6.907755  6.907855  6.907955  6.908055  6.908155  6.908255  6.908355  6.908455  6.908555  6.908655
1001.000000  6.908755  6.908855  6.908955  6.909054  6.909154  6.909254  6.909354  6.909454  6.909554  6.909653
1002.000000  6.909753  6.909853  6.909953  6.910053  6.910152  6.910252  6.910352  6.910452  6.910551  6.910651
1003.000000  6.910751  6.910850  6.910950  6.911050  6.911150  6.911249  6.911349  6.911448  6.911548  6.911648
1004.000000  6.911747  6.911847  6.911946  6.912046  6.912146  6.912245  6.912345  6.912444  6.912544  6.912643
1005.000000  6.912743  6.912842  6.912942  6.913041  6.913141  6.913240  6.913340  6.913439  6.913539  6.913638
1006.000000  6.913737  6.913837  6.913936  6.914036  6.914135  6.914234  6.914334  6.914433  6.914532  6.914632
1007.000000  6.914731  6.914830  6.914929  6.915029  6.915128  6.915227  6.915327  6.915426  6.915525  6.915624
1008.000000  6.915723  6.915823  6.915922  6.916021  6.916120  6.916219  6.916319  6.916418  6.916517  6.916616
1009.000000  6.916715  6.916814  6.916913  6.917012  6.917111  6.917210  6.917309  6.917409  6.917508  6.917607
1010.000000  6.917706  6.917805  6.917904  6.918003  6.918102  6.918201  6.918299  6.918398  6.918497  6.918596
1011.000000  6.918695  6.918794  6.918893  6.918992  6.919091  6.919190  6.919289  6.919387  6.919486  6.919585
1012.000000  6.919684  6.919783  6.919881  6.919980  6.920079  6.920178  6.920277  6.920375  6.920474  6.920573
1013.000000  6.920672  6.920770  6.920869  6.920968  6.921066  6.921165  6.921264  6.921362  6.921461  6.921560
1014.000000  6.921658  6.921757  6.921855  6.921954  6.922053  6.922151  6.922250  6.922348  6.922447  6.922545
1015.000000  6.922644  6.922742  6.922841  6.922939  6.923038  6.923136  6.923235  6.923333  6.923432  6.923530
1016.000000  6.923629  6.923727  6.923825  6.923924  6.924022  6.924121  6.924219  6.924317  6.924416  6.924514
1017.000000  6.924612  6.924711  6.924809  6.924907  6.925006  6.925104  6.925202  6.925300  6.925399  6.925497
1018.000000  6.925595  6.925693  6.925792  6.925890  6.925988  6.926086  6.926184  6.926283  6.926381  6.926479
1019.000000  6.926577  6.926675  6.926773  6.926871  6.926969  6.927068  6.927166  6.927264  6.927362  6.927460
1020.000000  6.927558  6.927656  6.927754  6.927852  6.927950  6.928048  6.928146  6.928244  6.928342  6.928440
1021.000000  6.928538  6.928636  6.928734  6.928832  6.928930  6.929027  6.929125  6.929223  6.929321  6.929419
1022.000000  6.929517  6.929615  6.929712  6.929810  6.929908  6.930006  6.930104  6.930201  6.930299  6.930397
1023.000000  6.930495  6.930593  6.930690  6.930788  6.930886  6.930983  6.931081  6.931179  6.931276  6.931374
1024.000000  6.931472  6.931569  6.931667  6.931765  6.931862  6.931960  6.932058  6.932155  6.932253  6.932350
1025.000000  6.932448  6.932545  6.932643  6.932741  6.932838  6.932936  6.933033  6.933131  6.933228  6.933326
1026.000000  6.933423  6.933520  6.933618  6.933715  6.933813  6.933910  6.934008  6.934105  6.934202  6.934300
1027.000000  6.934397  6.934495  6.934592  6.934689  6.934787  6.934884  6.934981  6.935079  6.935176  6.935273
1028.000000  6.935370  6.935468  6.935565  6.935662  6.935759  6.935857  6.935954  6.936051  6.936148  6.936246
1029.000000  6.936343  6.936440  6.936537  6.936634  6.936731  6.936829  6.936926  6.937023  6.937120  6.937217
1030.000000  6.937314  6.937411  6.937508  6.937605  6.937702  6.937799  6.937896  6.937993  6.938090  6.938187
1031.000000  6.938284  6.938381  6.938478  6.938575  6.938672  6.938769  6.938866  6.938963  6.939060  6.939157
1032.000000  6.939254  6.939351  6.939448  6.939545  6.939641  6.939738  6.939835  6.939932  6.940029  6.940126
1033.000000  6.940222  6.940319  6.940416  6.940513  6.940610  6.940706  6.940803  6.940900  6.940997  6.941093
1034.000000  6.941190  6.941287  6.941383  6.941480  6.941577  6.941673  6.941770  6.941867  6.941963  6.942060
1035.000000  6.942157  6.942253  6.942350  6.942447  6.942543  6.942640  6.942736  6.942833  6.942929  6.943026
1036.000000  6.943122  6.943219  6.943315  6.943412  6.943508  6.943605  6.943701  6.943798  6.943894  6.943991
1037.000000  6.944087  6.944184  6.944280  6.944376  6.944473  6.944569  6.944666  6.944762  6.944858  6.944955
1038.000000  6.945051  6.945147  6.945244  6.945340  6.945436  6.945533  6.945629  6.945725  6.945821  6.945918
1039.000000  6.946014  6.946110  6.946206  6.946303  6.946399  6.946495  6.946591  6.946687  6.946784  6.946880
1040.000000  6.946976  6.947072  6.947168  6.947264  6.947361  6.947457  6.947553  6.947649  6.947745  6.947841
1041.000000  6.947937  6.948033  6.948129  6.948225  6.948321  6.948417  6.948513  6.948609  6.948705  6.948801
1042.000000  6.948897  6.948993  6.949089  6.949185  6.949281  6.949377  6.949473  6.949569  6.949665  6.949761
1043.000000  6.949856  6.949952  6.950048  6.950144  6.950240  6.950336  6.950432  6.950527  6.950623  6.950719
1044.000000  6.950815  6.950911  6.951006  6.951102  6.951198  6.951294  6.951389  6.951485  6.951581  6.951676
1045.000000  6.951772  6.951868  6.951964  6.952059  6.952155  6.952251  6.952346  6.952442  6.952537  6.952633
1046.000000  6.952729  6.952824  6.952920  6.953015  6.953111  6.953207  6.953302  6.953398  6.953493  6.953589
1047.000000  6.953684  6.953780  6.953875  6.953971  6.954066  6.954162  6.954257  6.954353  6.954448  6.954543
1048.000000  6.954639  6.954734  6.954830  6.954925  6.955020  6.955116  6.955211  6.955307  6.955402  6.955497
1049.000000  6.955593  6.955688  6.955783  6.955879  6.955974  6.956069  6.956164  6.956260  6.956355  6.956450
1050.000000  6.956545  6.956641  6.956736  6.956831  6.956926  6.957022  6.957117  6.957212  6.957307  6.957402
1051.000000  6.957497  6.957593  6.957688  6.957783  6.957878  6.957973  6.958068  6.958163  6.958258  6.958353
1052.000000  6.958448  6.958543  6.958638  6.958734  6.958829  6.958924  6.959019  6.959114  6.959209  6.959304
1053.000000  6.959399  6.959493  6.959588  6.959683  6.959778  6.959873  6.959968  6.960063  6.960158  6.960253
1054.000000  6.960348  6.960443  6.960537  6.960632  6.960727  6.960822  6.960917  6.961012  6.961106  6.961201
1055.000000  6.961296  6.961391  6.961486  6.961580  6.961675  6.961770  6.961865  6.961959  6.962054  6.962149
1056.000000  6.962243  6.962338  6.962433  6.962528  6.962622  6.962717  6.962811  6.962906  6.963001  6.963095
1057.000000  6.963190  6.963285  6.963379  6.963474  6.963568  6.963663  6.963757  6.963852  6.963947  6.964041
1058.000000  6.964136  6.964230  6.964325  6.964419  6.964514  6.964608  6.964703  6.964797  6.964891  6.964986
1059.000000  6.965080  6.965175  6.965269  6.965364  6.965458  6.965552  6.965647  6.965741  6.965835  6.965930
1060.000000  6.966024  6.966119  6.966213  6.966307  6.966401  6.966496  6.966590  6.966684  6.966779  6.966873
1061.000000  6.966967  6.967061  6.967156  6.967250  6.967344  6.967438  6.967532  6.967627  6.967721  6.967815
1062.000000  6.967909  6.968003  6.968098  6.968192  6.968286  6.968380  6.968474  6.968568  6.968662  6.968756
1063.000000  6.968850  6.968944  6.969039  6.969133  6.969227  6.969321  6.969415  6.969509  6.969603  6.969697
1064.000000  6.969791  6.969885  6.969979  6.970073  6.970167  6.970260  6.970354  6.970448  6.970542  6.970636
1065.000000  6.970730  6.970824  6.970918  6.971012  6.971106  6.971199  6.971293  6.971387  6.971481  6.971575
1066.000000  6.971669  6.971762  6.971856  6.971950  6.972044  6.972138  6.972231  6.972325  6.972419  6.972513
1067.000000  6.972606  6.972700  6.972794  6.972887  6.972981  6.973075  6.973168  6.973262  6.973356  6.973449
1068.000000  6.973543  6.973637  6.973730  6.973824  6.973917  6.974011  6.974105  6.974198  6.974292  6.974385
1069.000000  6.974479  6.974572  6.974666  6.974760  6.974853  6.974947  6.975040  6.975134  6.975227  6.975320
1070.000000  6.975414  6.975507  6.975601  6.975694  6.975788  6.975881  6.975975  6.976068  6.976161  6.976255
